他感冒了。	tā gǎnmào le	He caught a cold.
她佩戴了一把小梳子作为装饰品。	tā pèidài le yī bǎ xiǎo shūzi zuòwéi zhuāngshìpǐn	She wore a small comb as an ornament.
安全驾驶之规则适用于每个人。	ānquán jiàshǐ zhī guīzé shìyòng yú měigerén	The rules of safe driving apply to everyone.
有时我们可以阻止云产生雨。	yǒushí wǒmen kěyǐ zǔzhǐ yún chǎnshēng yǔ	Sometimes we can prevent a cloud from producing rain.
委员会工作伊始即十分不利.	wěiyuánhuì gōngzuò yīshǐ jí shífēn bùlì	The committee began its work under unfavourable auspices.
使人发狂的官僚主义的混乱状况	shǐ rén fākuáng de guānliáozhǔyì de hùnluàn zhuàngkuàng	Maddening bureaucratic mix-ups.
山路要到春季末期才能通行.	shānlù yào dào chūnjì mòqī cáinéng tōngxíng	The mountain roads are not passable until late spring.
一方面，他们可以保持水的清洁。	yīfāngmiàn tāmen kěyǐ bǎochí shuǐ de qīngjié	For one thing they keep the water clean.
那艘宇宙飞船溅落在太平洋中.	nà sōu yǔzhòufēichuán jiàn luò zài Tàipíng Yáng zhōng	The spacecraft splashed down in the Pacific.
我需要一个漏斗把汽油灌进油箱.	wǒ xūyào yī gè lòudǒu bǎ qìyóu guàn jìn yóuxiāng	I need a funnel to pour petrol into the tank.
他猛力一拧, 将那把手拧了下来.	wǒ xūyào yī gè lòudǒu bǎ qìyóu guàn jìn yóuxiāng	With a violent twist, he wrenched off the handle.
这片玻璃似乎是一盏灯的一部分。	wǒ xūyào yī gè lòudǒu bǎ qìyóu guàn jìn yóuxiāng	This piece of glass seems to be part of a lamp.
祖母逝世时他们开始服丧.	zǔmǔ shìshì shí tāmen kāishǐ fúsāng	When grandmother died they went into (ie started to wear) mourning.
裁判判定他在第一回合被击败。	cáipàn pàndìng tā zài dìyī huíhé bèi jībài	The referee counted him out in the first round.
我们遗憾地把我们的决定通知她。	wǒmen yíhàn dì bǎ wǒmen de juédìng tōngzhī tā	We informed her with regret of our decision.
他撞车后驾驶执照被吊销了。	tā zhuàngchē hòu jiàshǐzhízhào bèi diàoxiāo le	His driving licence was revoked after the crash.
该报发行3 个月后停刊了。	gāi bào fāxíng gè yuè hòu tíng kān le	The newspaper ceased to appear after an existence of three months.
他不会说法语, 这使他很吃亏.	tā bùhuì shuōfa yǔ zhè shǐ tā hěn chīkuī	His inability to speak French puts him at a disadvantage.
新帘幕与地毯的颜色非常协调.	xīn liánmù yǔ dìtǎn de yánsè fēicháng xiétiáo	The new curtains tone in beautifully with the carpet.
他研究犯罪心理有多年经验.	tā yánjiū fànzuì xīnlǐ yǒu duō nián jīngyàn	He has many years' experience of the criminal mentality.
那位年轻的母亲把孩子抱在怀里。	nà wèi niánqīng de mǔqīn bǎ háizi bào zài huáilǐ	The young mother held the baby to her bosom.
法院将法定损害赔偿金判给了她.	fǎyuàn jiāng fǎdìng sǔnhài péichángjīn pàn gěi le tā	The court adjudged legal damages to her.
这台机器由电子脉冲信号操纵.	zhè tái jīqì yóu diànzǐ màichōng xìnhào cāozòng	The machine is operated by an electronic pulse.
他的鞋子太重，脚上磨出了水泡。	tā de xiézi tài zhòng jiǎo shàng mó chū le shuǐpào	His heavy shoes raised blisters on his feet.
他们用无线电跟总部联络上 了.	tāmen yòng wúxiàndiàn gēn zǒngbù liánluò shàng le	They made contact with headquarters by radio.
边疆，边境位于或靠近边界的土地	biānjiāng biānjìng wèiyú huò kàojìn biānjiè de tǔdì	Land located on or near a frontier.
警察逮捕了他和他的两个同谋。	jǐngchá dàibǔ le tā hé tā de liǎng gè tóngmóu	The police arrested him and his two accomplices.
我想把这些美元兑换成英镑。	wǒ xiǎng bǎ zhèxiē Měiyuán duìhuàn chéng Yīngbàng	I should like to change these dollars to pounds.
他把那块石头凿成一个女人像。	tā bǎ nà kuài shítou záo chéng yī gè nǚrén xiàng	He chiseled that rock into the figure of a woman.
他们站立在她的墓的周围向她默哀.	tāmen zhànlì zài tā de mù de zhōuwéi xiàng tā mò'āi	They stood in silent homage round her grave.
参加聚会的男子大都非常年轻。	cānjiā jùhuì de nánzǐ dàdōu fēicháng niánqīng	The men at the party were mostly fairly young.
帕台农神庙是一座宏伟的建筑物.	Pàtáinóng Shénmiào shì yī zuò hóngwěi de jiànzhùwù	The Parthenon is a magnificent structure.
兼职音乐教师定期到校授课.	jiānzhí yīnyuè jiàoshī dìngqī dào jiào shòukè	Peripatetic music teachers visit the school regularly.
谁也不怀疑她能胜任教师工作。	shéi yě bù huáiyí tā néng shèngrèn jiàoshī gōngzuò	No one doubts her competence as a teacher.
那个醉汉摇摇晃晃地穿过房间。	nàge zuìhàn yáo yáohuàng huàng dì chuānguò fángjiān	The drunk man staggered across the room.
跳舞的人旋转著, 裙子也不停地打转.	tiàowǔ de rén xuánzhuǎn zhe qúnzi yě bùtíng dì dǎzhuàn	Dancers spun in a swirl of skirts.
那狗扑向我时, 我用棍子自卫.	nà gǒu pū xiàng wǒ shí wǒ yòng gùnzi zìwèi	When the dog attacked me, I defended myself with a stick.
海港的灯火在水平线上闪烁著.	hǎigǎng de dēnghuǒ zài shuǐpíng xiànshàng shǎnshuò zhe	Harbour lights were blinking on the horizon.
她的智慧比我们猜想的要高。	tā de zhìhuì bǐ wǒmen cāixiǎng de yào gāo	She has more intelligence than we suspected her to possess.
在旧社会老百姓的生活是贫苦的	zài jiù shèhuì lǎobǎixìng de shēnghuó shì pínkǔ de	The husbandmen's life in old society is poor.
一名新教徒向人群发表了演说。	yī míng xīnjiàotú xiàng rénqún fābiǎo le yǎnshuō	A Protestant delivered a speech to the crowd.
他像是想要人尽心尽力伺候他.	tā xiàng shì xiǎngyào rén jìnxīnjìnlì cìhòu tā	He seemed to expect to be waited on hand and foot.
不知什么缘故，我觉得不能信任他。	bùzhī shénme yuángù wǒ juéde bùnéng xìnrèn tā	Somehow, I don't feel I can trust him.
他在事故中大脑受伤无法治愈.	tā zài shìgù zhōng dànǎo shòushāng wúfǎ zhìyù	He suffered irreversible brain damage in the crash.
这些照片中的人物姿势都挺好.	zhèxiē zhàopiàn zhòngdì rénwù zīshì dōu tǐnghǎo	The subjects are well posed in these photographs.
脚下一滑就可能从悬崖上跌下去.	jiǎoxià yī huá jiù kěnéng cóng xuányá shàng diē xiàqù	One slip and you could fall off the cliff.
操纵这台机器要转动这个把手.	cāozòng zhè tái jīqì yào zhuàndòng zhège bǎshǒu	You operate the mechanism by winding this handle.
这座建筑的外墙被漆成了蓝色。	zhè zuò jiànzhù de wàiqiáng bèi qī chéngle lánsè	The outer walls of the building were painted blue.
雪从屋顶上的裂缝飘进屋里。	xuě cóng wūdǐng shàng de lièfèng piāo jìn wū lǐ	Snow sifted through the crack in the roof into the room.
英国政府对这些报道不予证实.	Yīngguó zhèngfǔ duì zhèxiē bàodào bùyú zhèngshí	Whitehall is/are refusing to confirm the reports.
他的辩论因被打断而显得不完整。	tā de biànlùn yīn bèi dǎduàn ér xiǎnde bù wánzhěng	The interruption fragmented his argument.
我们设法达成了某种临时的妥协.	wǒmen shèfǎ dáchéng le mǒuzhǒng línshí de tuǒxié	We managed to achieve a kind of modus vivendi.
他像是想要人尽心尽力伺候他。	tā xiàng shì xiǎngyào rén jìnxīnjìnlì cìhòu tā	He seems to expect to be wait on hand and foot.
她喘著气好不容易才说出了几个字来.	tā chuǎn zhe qì hǎobùróngyì cái shuōchū le jǐge zì lái	She managed to gasp (out) a few words.
我们的部队仅受到表面上的抵抗.	wǒmen de bùduì jǐn shòudào biǎomiàn shàng de dǐkàng	Our troops encountered only token resistance.
报馆老板没能挽救该报的失败。	bàoguǎn lǎobǎn méi néng wǎnjiù gāi bào de shībài	The newspaper owner failed to pull the paper round.
窗帘同房间的气氛不协调。	chuānglián tóng fángjiān de qìfēn bùxiétiáo	The curtain is not in tune with the atmosphere of the room.
港口附近的兵站被敌人炸毁了。	gǎngkǒu fùjìn de bīngzhàn bèi dírén zhàhuǐ le	The depot near the harbor was bombed by the enemy.
园丁向我要一台旋转式割草机。	yuándīng xiàng wǒ yào yī tái xuánzhuǎn shì gēcǎojī	The gardener asked me for a rotatory lawn mower.
服下这些药丸可保你睡一宿好觉.	fú xià zhèxiē yàowán kě bǎo nǐ shuì yī sù hǎo jué	These pills should ensure you a good night's sleep.
他没完没了的谈话妨碍了我的学习。	tā méiwánméiliǎo de tánhuà fáng'ài le wǒ de xuéxí	His endless talking hinders me from my study.
他惊讶得眼珠子差一点跳出来。	tā méiwánméiliǎo de tánhuà fáng'ài le wǒ de xuéxí	His eyes nearly jumped from their sockets in surprise.
农夫拿著大棒追赶闯进来的人。	nóngfū ná zhe dàbàng zhuīgǎn chuǎng jìnlái de rén	The farmer came after the intruder with a big stick.
一盏小灯笼在黑暗中微微闪光。	yī zhǎn xiǎo dēnglóng zài hēi'àn zhōng wēiwēi shǎnguāng	A little lantern blinked in the darkness.
我们星期六的午饭总有一道油煎菜.	wǒmen Xīngqīliù de wǔfàn zǒngyǒu yīdào yóu jiān cài	We always have a fry-up for Saturday lunch.
凶恶的女人被认为胆大或凶狠的妇女	xiōng'è de nǚrén bèi rènwéi dǎndà huò xiōnghěn de fùnǚ	A woman regarded as daring or fierce.
腐败的原因传布腐败或腐朽的根源	fǔbài de yuányīn chuánbù fǔbài huò fǔxiǔ de gēnyuán	A source of spreading corruption or decay.
我们把这座旧房子的窗户都钉死了。	wǒmen bǎ zhè zuò jiù fángzi de chuānghu dōu dìngsǐ le	We nailed up the windows of the old house.
他这样做时，指头微微颤动了一下。	tā zhèyàng zuò shí zhǐtou wēiwēi chàndòng le yīxià	His fingers trembled while doing so.
他不只是拳击手, 还是世界冠军呢.	tā bù zhǐshì quánjīshǒu háishi shìjiè guànjūn ne	He's not a mere boxer: he's world champion.
她无法掩盖她身为作家的不足之处.	tā wúfǎ yǎngài tā shēnwéi zuòjiā de bùzú zhī chǔ	She can't hide her deficiencies as a writer.
那次事故使他毁容，终生无法恢复。	nà cì shìgù shǐ tā huǐróng zhōngshēng wúfǎ huīfù	The accident disfigured him for life.
侵犯的就要侵入或侵犯，如隐私的	qīnfàn de jiùyào qīnrù huò qīnfàn rú yǐnsī de	Tending to intrude or encroach, as upon privacy.
圣诞节和复活节是基督教的节日.	Shèngdànjié hé Fùhuójié shì Jīdūjiào de jiérì	Christmas and Easter are Christian festivals.
骑士们冲向宫殿去保护国王。	qíshì men chōngxiàng gōngdiàn qù bǎohù guówáng	The knights rushed into the palace to protect their king.
那种织物陈列在金属制的架子上。	nàzhǒng zhīwù chénliè zài jīnshǔ zhì de jiàzi shàng	The fabric was displayed on a wired stand.
别把档案弄乱了, 我刚整理好.	bié bǎ dàng'àn nòngluàn le wǒ gāng zhěnglǐ hǎo	Don't mess the files around, I've just put them in order.
她擦 去浴室地面上一滩滩的水.	tā cā qù yùshì dìmiàn shàng yī tān tān de shuǐ	She mopped up the pools of water on the bathroom floor.
影片结尾的暴力场面太过分了.	yǐngpiàn jiéwěi de bàolì chǎngmiàn tàiguò fēn le	The film's violent ending is completely over the top.
领袖的逝世对党是巨大的损失。	lǐngxiù de shìshì duì dǎng shì jùdà de sǔnshī	The death of its leader was a body-blow to the party.
交通拥挤是许多旧城镇的难题。	jiāotōngyōngjǐ shì xǔduō jiù chéngzhèn de nántí	Heavy traffic poses a problem in many old towns.
公司冒险将产品削价出售。	gōngsī màoxiǎn jiāng chǎnpǐn xuējià chūshòu	The company took a gamble by cutting the price of their products.
摆在他面前的是继续吃苦受罪。	bǎi zài tā miànqián de shì jìxù chīkǔ shòuzuì	Ahead of him lay the prospect of continuing hardship.
编成一本字典是一个缓慢的过程。	biānchéng yī běn zìdiǎn shì yī gè huǎnmàn de guòchéng	Producing a dictionary is a slow process.
我会寂寞，若非有鸟也有花。	wǒ huì jìmò ruòfēi yǒu niǎo yě yǒu huā	I should be lonely, were it not for the birds and the flowers.
一般而言，女性寿命较男性长。	yībān'éryán nǚxìng shòumìng jiào nánxìng cháng	Generally speaking, women live longer than men.
放松运动可以松缓身体的紧张.	fàngsōng yùndòng kěyǐ sōnghuǎn shēntǐ de jǐnzhāng	Relaxation exercises can free your body of tension.
她是个聪明的姑娘，但缺少毅力。	tā shì gè cōngming de gūniang dàn quēshǎo yìlì	She is a clever girl, but fails I perseverance.
我母亲上星期没有给花园里浇水。	wǒ mǔqīn shàngxīngqī méiyǒu gěi huāyuán lǐ jiāoshuǐ	My mother didn't water the garden last week.
在一些热带国家，眼疾很流行。	zài yīxiē rèdài guójiā yǎn jí hěn liúxíng	Eye diseases are prevalent in some tropical countries.
电力供应已在电源处截断.	diànlì gōngyìng yǐ zài diànyuán chǔ jiéduàn	The electricity supply has been cut off/disconnected at the mains.
他们订婚的事成了镇上谈论的话题.	tāmen dìnghūn de shì chéngle zhèn shàng tánlùn dehuà tí	Their engagement is the talk of the town.
炸弹爆炸时, 他们觉得地都震动了.	zhàdàn bàozhà shí tāmen juéde dì dōu zhèndòng le	They felt the ground quake as the bomb exploded.
他们管著三家工厂和一个大仓库.	tāmen guǎn zhe sān jiā gōngchǎng hé yī gè dà cāngkù	They operate three factories and a huge warehouse.
两个村子合作修建了这座水库。	liǎng gè cūnzi hézuò xiūjiàn le zhè zuò shuǐkù	The tow villages joined forces to build the reservoir.
反核武器组织要求禁止使用核武器.	fǎnhé wǔqì zǔzhī yāoqiú jìnzhǐ shǐyòng héwǔqì	Anti-nuclear organizations want to ban the bomb.
风从门的裂缝中呼呼地刮了进来。	fēng cóng mén de lièfèng zhōng hūhū dì guā le jìnlái	The wind whistled through a crack in the door.
火车上挤得我都喘不过气来。	huǒchē shàng jǐ dé wǒ dōu chuǎnbuguòqìlái	There was such a crush on the train that I could hardly breathe.
在翻地时应把肥料均匀地混入土壤中.	zài fān dì shí yīng bǎ féiliào jūnyún dì hùnrù tǔrǎng zhōng	The manure should be well dug in.
